ID,AMOUNT_REQUESTED,LOAN_PURPOSE,LOAN_LENGTH,STATUS,DEBT_TO_INCOME_RATIO,HOME_OWNERSHIP,FICO_MED,OPEN_CREDIT_LINES,REVOLVING_CREDIT_BALANCE,INQUIRIES_IN_THE_LAST_6_MONTHS,AGE,MONTHLY_INCOME,YEARS_EMPLOYED,STATE,INTEREST_RATE,DEFAULT,FICO_MED_DIV_TWO
81174,20000,debt consolidation,36,accepted,14.9,MORTGAGE,737.0,14.0,14272.0,2.0,26,6541.67,8.0,SC,8.9,0.0,368.5
99592,19200,debt consolidation,36,accepted,28.36,MORTGAGE,717.0,12.0,11140.0,1.0,40,4583.33,8.0,TX,12.12,0.0,358.5
80059,35000,debt consolidation,60,accepted,23.81,MORTGAGE,692.0,14.0,21977.0,1.0,32,11500.0,8.0,CA,21.98,0.0,346.0
15825,10000,debt consolidation,36,accepted,14.3,MORTGAGE,697.0,10.0,9346.0,0.0,29,3833.33,12.0,KS,9.99,0.0,348.5
33182,12000,credit card,36,accepted,18.78,RENT,697.0,11.0,14469.0,0.0,37,3195.0,15.0,NJ,11.71,0.0,348.5
62403,6000,other,36,accepted,20.05,OWN,672.0,17.0,10391.0,2.0,40,4891.67,10.0,CT,15.31,0.0,336.0
48808,10000,debt consolidation,36,accepted,26.09,RENT,722.0,10.0,15957.0,0.0,44,2916.67,17.0,MA,7.9,0.0,361.0
22090,33500,credit card,60,accepted,14.7,MORTGAGE,707.0,12.0,27874.0,0.0,44,13863.42,16.0,LA,17.14,0.0,353.5
76404,14675,credit card,36,accepted,26.92,RENT,687.0,9.0,7246.0,1.0,37,3150.0,14.0,CA,14.33,0.0,343.5
15867,7000,credit card,36,accepted,7.1,RENT,717.0,8.0,7612.0,0.0,41,5000.0,10.0,CA,6.91,0.0,358.5
94971,2000,moving,36,accepted,10.29,RENT,672.0,10.0,12036.0,0.0,31,3575.0,12.0,FL,19.72,1.0,336.0
36911,10625,debt consolidation,36,accepted,12.54,MORTGAGE,667.0,14.0,10767.0,0.0,35,4250.0,7.0,CA,14.27,0.0,333.5
41200,28000,debt consolidation,60,accepted,13.07,MORTGAGE,672.0,12.0,10311.0,0.0,32,14166.67,8.0,CT,21.67,0.0,336.0
53853,9600,debt consolidation,36,accepted,3.45,RENT,727.0,13.0,4606.0,0.0,39,11250.0,7.0,DC,7.62,0.0,363.5
21399,25000,debt consolidation,60,accepted,21.99,RENT,732.0,6.0,13929.0,0.0,37,5416.67,16.0,CA,15.65,0.0,366.0
62127,10000,debt consolidation,36,accepted,17.72,RENT,697.0,18.0,20317.0,0.0,39,9000.0,14.0,CA,12.12,0.0,348.5
44987,10000,credit card,36,accepted,7.13,RENT,732.0,7.0,6112.0,2.0,29,2733.33,9.0,FL,9.76,0.0,366.0
17977,5200,debt consolidation,60,accepted,10.29,MORTGAGE,762.0,10.0,16094.0,0.0,31,3750.0,8.0,AL,9.99,0.0,381.0
86099,22000,debt consolidation,36,accepted,11.19,MORTGAGE,667.0,9.0,23124.0,0.0,43,6666.67,17.0,TX,21.98,1.0,333.5
99483,30000,credit card,60,accepted,21.25,MORTGAGE,697.0,12.0,34927.0,0.0,38,6250.0,13.0,FL,19.05,0.0,348.5
28798,6500,car,60,accepted,19.63,RENT,667.0,11.0,11697.0,1.0,28,4100.0,8.0,FL,17.99,1.0,333.5
24168,17400,credit card,36,accepted,12.47,RENT,697.0,7.0,26587.0,0.0,43,6833.33,13.0,AZ,11.99,0.0,348.5
10356,4000,vacation,60,accepted,13.71,MORTGAGE,672.0,5.0,20804.0,0.0,28,4500.0,9.0,GA,16.82,0.0,336.0
46027,7200,debt consolidation,36,accepted,24.82,RENT,707.0,8.0,12017.0,0.0,34,5416.67,14.0,TX,7.9,0.0,353.5
2238,8000,debt consolidation,36,accepted,24.63,RENT,677.0,9.0,8928.0,2.0,41,2964.17,12.0,MA,14.42,0.0,338.5
65278,8000,debt consolidation,36,accepted,15.46,MORTGAGE,677.0,13.0,7152.0,1.0,37,2916.67,12.0,CA,15.31,0.0,338.5
4227,3000,other,36,accepted,3.72,MORTGAGE,767.0,4.0,7074.0,0.0,40,4167.0,12.0,MA,8.59,0.0,383.5
50182,14500,debt consolidation,36,accepted,4.85,MORTGAGE,762.0,4.0,9598.0,0.0,42,3958.33,10.0,GA,7.9,0.0,381.0
87023,23850,debt consolidation,60,accepted,28.81,MORTGAGE,687.0,19.0,25968.0,3.0,43,5833.33,16.0,LA,21.0,0.0,343.5
46120,14000,debt consolidation,36,accepted,14.93,MORTGAGE,687.0,9.0,35457.0,0.0,31,10583.33,8.0,CA,12.12,0.0,343.5
30756,35000,debt consolidation,60,accepted,7.45,MORTGAGE,722.0,7.0,31414.0,0.0,42,10416.67,14.0,GA,16.49,0.0,361.0
94582,16000,car,60,accepted,11.94,RENT,687.0,14.0,154.0,1.0,40,5250.0,10.0,WV,15.8,0.0,343.5
457,17350,debt consolidation,36,accepted,18.52,OWN,677.0,8.0,18966.0,2.0,40,3666.67,13.0,NH,13.55,0.0,338.5
39591,7200,debt consolidation,36,accepted,7.98,RENT,722.0,5.0,8783.0,0.0,33,5666.67,9.0,GA,7.9,0.0,361.0
78862,20125,home improvement,36,accepted,4.29,MORTGAGE,832.0,13.0,73952.0,0.0,27,3750.0,7.0,VA,7.62,0.0,416.0
54619,12000,debt consolidation,36,accepted,12.06,RENT,717.0,11.0,14717.0,0.0,33,5000.0,10.0,NY,8.9,0.0,358.5
101798,2400,home improvement,36,accepted,20.56,MORTGAGE,662.0,10.0,18749.0,5.0,26,3448.33,7.0,MD,12.49,0.0,331.0
98029,3200,home improvement,36,accepted,8.36,MORTGAGE,672.0,7.0,6619.0,1.0,28,2500.0,10.0,HI,17.27,0.0,336.0
95579,12725,debt consolidation,36,accepted,22.15,RENT,722.0,23.0,4079.0,0.0,27,4416.67,10.0,TX,11.14,0.0,361.0
4868,5500,credit card,36,accepted,3.58,RENT,662.0,2.0,0.0,1.0,37,12000.0,14.0,DC,19.13,1.0,331.0
26822,15650,house,36,accepted,13.86,RENT,662.0,5.0,10605.0,1.0,43,3700.0,11.0,MD,21.74,0.0,331.0
98445,9000,credit card,36,accepted,25.22,RENT,677.0,14.0,5852.0,1.0,36,5166.67,16.0,CA,17.27,0.0,338.5
14958,5000,major purchase,36,accepted,4.0,RENT,717.0,3.0,1069.0,0.0,26,5577.0,8.0,TX,11.86,0.0,358.5
14754,3000,debt consolidation,36,accepted,15.21,RENT,712.0,11.0,3098.0,0.0,28,3083.33,8.0,PA,10.38,0.0,356.0
34501,20000,debt consolidation,60,accepted,9.47,MORTGAGE,672.0,5.0,11168.0,0.0,32,11250.0,7.0,CA,23.91,0.0,336.0
26888,5450,other,60,accepted,2.48,MORTGAGE,787.0,14.0,4326.0,0.0,46,4600.0,17.0,WA,7.49,0.0,393.5
81759,14000,debt consolidation,36,accepted,11.38,MORTGAGE,707.0,22.0,18583.0,0.0,44,4500.0,12.0,NY,12.12,0.0,353.5
10825,8800,credit card,60,accepted,21.59,RENT,752.0,11.0,18694.0,1.0,29,3750.0,8.0,IL,10.38,0.0,376.0
16667,3000,other,36,accepted,15.79,RENT,662.0,4.0,12578.0,0.0,46,7952.0,14.0,MD,17.44,1.0,331.0
92046,32000,debt consolidation,60,accepted,15.61,RENT,702.0,15.0,32566.0,1.0,31,9250.0,8.0,IL,17.27,0.0,351.0
88279,22250,debt consolidation,60,accepted,28.87,RENT,667.0,15.0,14107.0,0.0,42,4166.67,16.0,HI,21.49,1.0,333.5
17218,7325,debt consolidation,60,accepted,20.37,OWN,682.0,6.0,13583.0,0.0,44,3000.0,12.0,NY,17.8,1.0,341.0
82406,16450,debt consolidation,36,accepted,7.57,RENT,727.0,5.0,2928.0,0.0,39,7500.0,8.0,NC,11.14,0.0,363.5
17143,2500,debt consolidation,36,accepted,16.45,RENT,672.0,6.0,5019.0,1.0,33,1100.0,10.0,WI,12.98,0.0,336.0
27486,6000,other,36,accepted,7.5,MORTGAGE,717.0,4.0,5167.0,0.0,36,2625.0,17.0,FL,9.99,0.0,358.5
